"id";"color_id";"p_id"
"69";"1";"4"
"70";"4";"4"
"77";"6";"6"
"82";"2";"12"
"83";"9";"13"
"84";"3";"14"
"85";"2";"15"
"86";"6";"15"
"87";"3";"16"
"88";"3";"17"
"89";"2";"18"
"90";"3";"19"
"91";"1";"20"
"92";"8";"21"
"93";"2";"22"
"94";"2";"23"
"95";"2";"25"
"96";"5";"26"
"97";"2";"27"
"98";"4";"27"
"99";"5";"28"
"100";"7";"29"
"101";"10";"30"
"102";"11";"31"
"103";"14";"109"
"105";"2";"34"
"106";"1";"35"
"107";"3";"36"
"109";"6";"38"
"110";"2";"39"
"111";"11";"42"
"149";"3";"10"
"150";"6";"9"
"151";"3";"8"
"152";"7";"7"
"159";"2";"77"
"163";"17";"79"
"164";"2";"78"
"167";"3";"80"
"168";"2";"81"
"172";"1";"82"
"173";"2";"82"
"174";"4";"82"
